Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
100,R16 Game 1,13/02/2019 21:00,Johan Cruijff ArenA,Ajax,Real Madrid,,1 - 2
101,R16 Game 1,19/02/2019 21:00,OL Stadium,Lyon,Barcelona,,0 - 0
102,R16 Game 1,19/02/2019 21:00,Anfield,Liverpool,Bayern,,0 - 0
103,R16 Game 1,20/02/2019 21:00,Estadio Metropolitano,Atlético,Juventus,,2 - 0
104,R16 Game 1,20/02/2019 21:00,Arena AufSchalke,Schalke,Man. City,,2 - 3
105,R16 Game 2,05/03/2019 21:00,BVB Stadion Dortmund,Dortmund,Tottenham,,0 - 1
106,R16 Game 2,05/03/2019 21:00,Estadio Santiago Bernabéu,Real Madrid,Ajax,,1 - 4
107,R16 Game 2,06/03/2019 21:00,Parc des Princes,Paris,Man. United,,1 - 3
108,R16 Game 2,06/03/2019 21:00,Estádio do Dragão,Porto,Roma,,3 - 1
109,R16 Game 2,12/03/2019 21:00,Juventus Stadium,Juventus,Atlético,,3 - 0
110,R16 Game 2,12/03/2019 21:00,City of Manchester Stadium,Man. City,Schalke,,7 - 0
111,R16 Game 2,13/03/2019 21:00,Camp Nou,Barcelona,Lyon,,5 - 1
112,R16 Game 2,13/03/2019 21:00,Fußball Arena München,Bayern,Liverpool,,1 - 3
113,QF Game 1,09/04/2019 21:00,Tottenham Hotspur Stadium,Tottenham,Man. City,,1 - 0
114,QF Game 1,09/04/2019 21:00,Anfield,Liverpool,Porto,,2 - 0
115,QF Game 1,10/04/2019 21:00,Old Trafford,Man. United,Barcelona,,0 - 1
116,QF Game 1,10/04/2019 21:00,Johan Cruijff ArenA,Ajax,Juventus,,1 - 1
117,QF Game 2,16/04/2019 21:00,Juventus Stadium,Juventus,Ajax,,1 - 2
118,QF Game 2,16/04/2019 21:00,Camp Nou,Barcelona,Man. United,,3 - 0
119,QF Game 2,17/04/2019 21:00,Estádio do Dragão,Porto,Liverpool,,1 - 4
120,QF Game 2,17/04/2019 21:00,City of Manchester Stadium,Man. City,Tottenham,,4 - 3
121,SF Game 1,30/04/2019 21:00,Tottenham Hotspur Stadium,Tottenham,Ajax,,0 - 1
122,SF Game 1,01/05/2019 21:00,Camp Nou,Barcelona,Liverpool,,3 - 0
123,SF Game 2,07/05/2019 21:00,Anfield,Liverpool,Barcelona,,4 - 0
124,SF Game 2,08/05/2019 21:00,Johan Cruijff ArenA,Ajax,Tottenham,,2 - 3
125,Final,01/06/2019 21:00,Estadio Metropolitano,Tottenham,Liverpool,,0 - 2
