Match Number,Round Number,Date,Location,Home Team,Away Team,Result
93,6,10/12/2024 21:00,RB Arena,Leipzig,Aston Villa,2 - 3
94,6,10/12/2024 21:00,BayArena,Leverkusen,Inter,1 - 0
95,6,10/12/2024 21:00,Stadio di Bergamo,Atalanta,Real Madrid,2 - 3
96,6,10/12/2024 21:00,Jan Breydelstadion,Club Brugge,Sporting CP,2 - 1
97,6,10/12/2024 21:00,Arena AufSchalke,Shakhtar,Bayern München,1 - 5
98,6,10/12/2024 21:00,Stadion Salzburg,Salzburg,Paris,0 - 3
99,6,10/12/2024 21:00,Stade de Roudourou,Brest,PSV,1 - 0
100,6,11/12/2024 18:45,Estadio Metropolitano,Atleti,S. Bratislava,3 - 1
101,6,11/12/2024 18:45,Stade Pierre Mauroy,Lille,Sturm Graz,3 - 2
102,6,11/12/2024 21:00,BVB Stadion Dortmund,B. Dortmund,Barcelona,2 - 3
103,6,11/12/2024 21:00,Juventus Stadium,Juventus,Man City,2 - 0
104,6,11/12/2024 21:00,Estádio do SL Benfica,Benfica,Bologna,0 - 0
105,6,11/12/2024 21:00,Arsenal Stadium,Arsenal,Monaco,3 - 0
106,6,11/12/2024 21:00,Stadio San Siro,Milan,Crvena Zvezda,2 - 1
107,6,11/12/2024 21:00,Stadion Feijenoord 'De Kuip',Feyenoord,Sparta Praha,4 - 2
108,6,11/12/2024 21:00,Arena Stuttgart,Stuttgart,Young Boys,5 - 1
109,7,21/01/2025 18:45,Stadio di Bergamo,Atalanta,Sturm Graz,5 - 0
110,7,21/01/2025 18:45,Stade Louis II,Monaco,Aston Villa,1 - 0
111,7,21/01/2025 21:00,Národný futbalový štadión,S. Bratislava,Stuttgart,1 - 3
112,7,21/01/2025 21:00,Jan Breydelstadion,Club Brugge,Juventus,0 - 0
113,7,21/01/2025 21:00,Estadio Metropolitano,Atleti,Leverkusen,2 - 1
114,7,21/01/2025 21:00,Estádio do SL Benfica,Benfica,Barcelona,4 - 5
115,7,21/01/2025 21:00,Anfield,Liverpool,Lille,2 - 1
116,7,21/01/2025 21:00,Stadio Renato Dall'Ara,Bologna,B. Dortmund,2 - 1
117,7,21/01/2025 21:00,Stadion Rajko Mitic,Crvena Zvezda,PSV,2 - 3
118,7,22/01/2025 18:45,RB Arena,Leipzig,Sporting CP,2 - 1
